"sample","Astrocyte","Oligodendrocyte","Mphage/Microglia","Neuron","Endothelial","Ependymal","OPC","Radial Glia","Plasma B cell","Eosino-/Neutrophils","T Cells/NK Cells"
"P450v9",-0.00597929969680203,-0.0106502701883224,-0.0492645258158801,0.0617520405525909,0.0185778498672664,-0.00827920535552463,0.0384829667518621,0.0119198691837397,-0.0680079318476951,-0.0477269062690966,-0.0189123211299685
"P450v10",-0.0660339960641907,-0.0352614901080512,-0.0705191053618715,0.114897626145822,-0.0436301658772934,-0.00687098666064011,0.151183836527557,0.0674369525645279,-0.0797335927069319,-0.0594689797378845,0.0150497645791799
"P452v1",-0.0716755245482066,-0.0326017507629635,-0.0578830233642013,0.0206983929265749,-0.0332226021972523,0.00152032614065867,0.0901130774467877,0.0508024209222172,-0.0635766177192283,0.0716951302086981,0.00104988592407535
"P452v2",-0.0383046348381468,-0.039350357162419,-0.0429169450450577,0.0143446093791822,-0.0378638186477241,-0.00524767402242059,0.103427778084682,0.0747796088181067,-0.0527069712849202,0.0380406058290967,-0.0259712764082827
"P452v3",-0.0499999053051146,-0.0411009793432959,-0.0435548877825671,0.00484184830328298,-0.0510365691124128,0.00903927542666806,0.0566236617848523,0.02395765671162,-0.0282188674360119,0.0512037158975916,-0.00969090838596053
"P452v4",-0.0216082646046107,-0.0320744554767301,-0.0205902879569041,0.00882555450177002,-0.0374179850267755,0.00388669474657495,0.0744170182335762,0.00902920305897742,-0.0483494482587882,0.0502414534138126,-0.029406727437351
"P452v5",-0.0296555912052039,-0.032929983027555,-0.0310736968297996,4.05547246088822e-05,-0.0326173948437278,0.0023092353017327,0.0412396239821021,0.00959375252181907,-0.066984234803778,0.0453551819045385,-0.0187980854651432
"P452v6",-0.0106839093606588,-0.0281998218292123,-0.0439273359946794,0.050467260417153,-0.0298109635480495,-0.00190894576356451,0.0283119823380658,0.0231628422823096,-0.0590564736565934,0.0104993893802791,-0.0294107357180022
"P452v7",-0.0200288787252723,-0.029737531799933,-6.50109468551913e-05,0.00981391487440514,0.000361769263138404,-0.00448345108563034,0.0136033949262156,0.0134048109461138,-0.0490849617484366,0.0319813672802009,-0.0188853815956894
"P452v8",-0.021071934561919,-0.0276079807118533,0.0178017984074929,-0.021432827302202,-0.006590730043867,-5.45346822482197e-05,-0.0124361114452045,0.00285586592586935,-0.0170084048893745,0.0474093434852292,0.0044813900751156
"P452v9",-0.0118881663228589,-0.0303006796205141,-0.0233515047579067,0.00910975283297608,0.0129812627458867,0.000831741450448346,0.0250575753921769,0.00853818097924549,-0.0442451042857256,0.039470911951664,-0.0263113441406402
"P452v10",-0.0497547767605956,-0.0273238208059692,-0.0212041137007844,0.00608983509816285,0.0142598558581696,-0.0061263267890575,0.0038968224444804,0.0473057095958694,-0.0565761973638143,0.0581380272517657,-0.0218122513247163
"P453v1",0.00744002560975084,0.112539915011297,-0.0155338124217943,0.0925788836262097,0.0682060747344246,-0.00784243390024721,-0.0483080110016004,0.010666168842422,0.00495839691628693,-0.0208907733309683,-0.0220862654513181
