Sample	lightcyan	brown4	brown	palevioletred2	yellowgreen	darkseagreen3	lavenderblush3	black	saddlebrown	pink
P41v5	-0.106376777	-0.042949161	-0.081334235	-0.032988921	0.078572316	-0.048421226	0.060180682	-0.032782676	-0.019218208	0.056118749
P41v6	-0.053387869	-0.035442962	-0.052439627	-0.020784343	0.02271704	-0.038852649	0.031599101	-0.001511891	-0.001227153	-0.006229554
P41v7	-0.119418042	-0.055179106	-0.082467493	-0.034943652	0.054773981	-0.016847873	0.081979547	-0.021629162	0.004165331	0.102227951
P41v8	-0.08979695	-0.051541988	-0.083986612	-0.034724043	0.019545808	-0.027815744	0.078656781	-0.027972177	-0.00677669	0.107052126
P41v9	-0.020640783	-0.033006764	-0.05523474	-0.027334986	0.071808338	-0.05165644	0.045742686	-0.028008808	-0.011368336	-0.006877444
P340v1	-0.023652851	0.011814099	0.003666753	-0.01869691	0.068580242	0.01592523	0.095003991	0.041415204	0.059779414	-0.040227204
P340v2	-0.115716153	-0.050022556	-0.070685674	-0.027577313	0.069974019	0.139423776	0.144922926	-0.003661774	-0.025997364	0.306205829
P340v3	0.015538727	-0.018988469	-0.003895387	-0.023944125	0.084867475	0.07037884	0.020501445	0.132592225	-0.051761419	-0.029878909
P340v4	-0.058927701	0.014232906	0.005848705	-0.01798471	0.068060937	0.033642822	0.086955939	0.051939565	0.113933424	-0.043532055
P340v5	-0.003220113	0.004215885	0.007772753	-0.024866059	0.20134111	0.066329769	0.12346857	0.086081521	0.033642165	-0.016378415
P340v6	0.005048062	0.002864119	-0.02271162	-0.026666056	0.115262301	0.069613724	0.135482887	0.057747911	0.030813903	-0.001718209
P340v7	-0.038187694	0.010528858	-0.011114096	-0.024734628	0.096589504	0.038623611	0.098862956	0.065549105	0.050069932	-0.040585038
P340v8	0.08242157	-0.01366935	-0.025911879	-0.006998084	0.113768356	0.100438457	-0.015283997	0.099411107	-0.052655832	-0.021813054
P340v9	0.09007055	-0.020092754	-0.063314522	-0.030248771	0.081388917	0.076490447	0.069218601	-0.03122008	-0.011400674	0.034904973
P340v10	-0.006239193	-0.033479926	-0.057972389	-0.032726616	0.090312574	0.043731253	0.149780325	-0.010813243	-0.036081028	0.066447317
P302v1	-0.035218949	-0.032662176	-0.048115452	-0.021037353	0.001634584	0.008532722	0.098866865	0.029464472	-0.042627524	0.035956131
P302v2	-0.037860034	-0.030026278	-0.06138588	0.019769196	0.005924472	-0.054970612	0.073205988	-0.046531503	-0.049623175	0.006093045
P302v3	-0.049429038	-0.020266143	-0.038089278	-0.003692282	-0.020341319	-0.014421755	0.069363628	0.049531904	-0.044569273	-0.014759481
