Patient	SampleName	lymphocytes	m1macro	microgliamacro	granulocyte	endothelial	astrocytes	astrocytes2	oligodendrocytes	ependymal	neuron	Angiogenesis	Apoptosis	Cell_Cycle	Differentiation	DNA_damage	DNA_repair	EMT	Hypoxia	Inflammation	Invasion	Metastasis	Proliferation	Quiescence	Stemness
P260v3	P260	v3	-0.009104652	-0.058062732	-0.060731443	-0.028364956	-0.031768853	-0.026571124	-0.032979039	-0.027603156	-0.070243224	0.049763385	-0.104778361067952	-0.176295565552242	1.25742955961266	-0.147096767917712	0.35607090075479	0.601233168518095	-0.0653974405070877	-0.363507955283041	-0.379564875689033	-0.077194277978369	-0.171009055290196	0.0783137284361524	-0.135790504260237	-0.0158635426886795
P260v4	P260	v4	-0.027920918	-0.054309764	-0.053763038	-0.032422101	-0.010582901	0.003542222	0.01109392	-0.019298346	-0.066615384	0.088955482	-0.140198281532571	-0.163663856302248	0.73762104753235	-0.136075717731299	0.0902732326503456	0.265768588141436	-0.114282173788053	-0.309020862380979	-0.350446493680005	-0.148244613255167	-0.190193852465098	-0.0451549420614375	-0.168719413292336	-0.0450430109701569
P260v5	P260	v5	-0.001078884	-0.054518643	-0.049130508	-0.029841924	0.001487923	0.000639289	0.029249812	-0.023942527	-0.067689322	0.067594387	0.00707042657662035	-0.204940142689347	0.742462536388126	-0.0884810104906153	0.115700544666541	0.185716414456113	-0.00885217041945998	-0.302803469473601	-0.334722178451156	-0.0323119651365631	-0.0971302244438299	-0.027029368044587	-0.136233130244204	-0.0423809817663978
P260v6	P260	v6	-0.032817182	-0.038419406	-0.050535597	-0.02696765	-0.04641635	-0.040580657	-0.056478961	-0.017128786	-0.072970579	0.011458961	-0.0448612934423777	-0.072595859451798	1.4338095065924	-0.0969491626216126	0.414124100887356	0.735091085341122	0.0137469486725585	-0.353093683664956	-0.328566528587977	-0.0121722337222356	-0.0832622444865821	0.135911226823101	-0.141386017580533	0.0107605089859486
P260v7	P260	v7	-0.062534757	-0.051883733	-0.054810302	-0.027766594	-0.028757521	-0.046944833	-0.061385073	-0.016094727	-0.072549035	-0.000389253	-0.0168888033728035	-0.0875730818193023	1.52089555032237	-0.0609496522868363	0.486449585155859	0.820389117947433	0.0221743270825079	-0.369300826268655	-0.354087071757209	-0.0689722298822848	-0.0740831363525397	0.153501210581019	-0.0874404274818218	0.0774077824452889
P260v8	P260	v8	-0.02503867	-0.037666236	-0.025514272	-0.024428675	-0.054914061	-0.057271759	-0.083385626	-0.028966248	-0.068480785	-0.026705886	0.0343817607806604	0.0332422388003868	1.94909183403779	-0.0634513696768265	0.705156486034703	1.13647182228041	0.135718613103759	-0.358732287691955	-0.264982511654502	0.0840859141701952	-0.0336255942178003	0.264632724760103	-0.0711889245943644	0.118006803910842
P260v9	P260	v9	-0.035256798	-0.042316799	-0.04633775	-0.02992496	-0.057714288	-0.058003395	-0.078908617	-0.031349973	-0.069700254	-0.021504758	0.0806155590764622	0.0532091330536966	1.92060624949831	-0.0428820224150209	0.711290368507939	1.1739507817971	0.136893506363969	-0.372886796875653	-0.332513806491391	0.107795241068378	-0.00745856840472337	0.248783205949619	-0.135113078193496	0.118427114734945
P300v1	P300	v1	-0.009577511	0.030163877	-0.005907435	-0.023307883	0.00180817	-0.017137786	0.035508439	-0.030256649	0.131594158	-0.01439597	-0.202691515129415	-0.219417579346682	-0.495426158171619	-0.114624905895515	-0.166587504019737	-0.215565490293352	-0.270959513478127	-0.25032039888932	0.0267585373600458	-0.307309922513685	-0.118639336413102	-0.0413628089685315	-0.0842984064010379	-0.135432153134928
P300v10	P300	v10	-0.03828424	-0.057245828	-0.034114367	-0.016289075	0.000463458	-0.034802155	0.012227916	-0.019482131	0.19441982	-0.029201567	-0.168476834058794	-0.148924661046201	-0.404372218807536	-0.138936691290106	-0.024717306473425	0.126528841628726	-0.278050421112016	-0.168563929218317	-0.044809470761498	-0.321399720885119	-0.220058698589671	-0.0108004585330374	0.0231047630966834	0.0232226786363092
P300v4	P300	v4	-0.00528534	-0.061735394	-0.053837704	-0.029309351	-0.000238397	0.055550477	0.089869153	-0.001940087	0.002352898	0.101487965	-0.290546436346665	-0.34446523189643	-0.40000274488383	-0.203459761893286	-0.240250891240689	-0.221216213068206	-0.394195498268449	-0.286340462312873	-0.336106043750867	-0.370100384902505	-0.347289610081089	-0.309388681831335	-0.226384229645496	-0.184026436827958
