""	"Angiogenesis"	"Apoptosis"	"Cell_Cycle"	"Differentiation"	"DNA_damage"	"DNA_repair"	"EMT"	"Hypoxia"	"Inflammation"	"Invasion"	"Metastasis"	"Proliferation"	"Quiescence"	"Stemness"
"P453v1"	0.0119310495673379	-0.0976615638003338	-0.543879920289417	0.0266110986934796	-0.387075296128967	-0.574654706379191	-0.284953002949893	0.172725029525642	0.361844799298992	-0.29050745335905	-0.186266416514354	-0.237873697736682	0.306172234138202	0.0124870605219695
"P453v2"	-0.0196492010370722	-0.1385056346304	-0.551477008851041	0.0258825858625591	-0.373131660369946	-0.567030328149807	-0.282111319677048	0.0124445152539423	-0.0224931053303108	-0.352102782106886	-0.178964882299347	-0.273941767269084	0.0413652717993786	0.00855157998966614
"P453v3"	0.0580719031841078	-0.108155512125509	-0.598768410434305	0.100250663221519	-0.386497119825704	-0.612097507922275	-0.162340656798898	0.190909404651802	-0.116951396068511	-0.331022073402223	-0.113725114059189	-0.233255138466198	-0.00300682363194187	0.0818543646511809
"P453v4"	-0.248694624388229	-0.0646013520797718	-0.292868557132207	-0.162039556042187	-0.0359562165200108	-0.0666233299591094	-0.39112993355712	-0.269734796108221	0.0162413361930392	-0.278403811466968	-0.262051966380366	-0.246493614552804	-0.0657902475689534	-0.0280696726283682
"P453v5"	-0.203239561194312	-0.0535386061941553	-0.30382567931725	-0.13686758965499	0.0747144022640131	0.114024901601536	-0.345831168312186	-0.397368387870783	-0.230921332735502	-0.191033886009979	-0.249487661788351	-0.187109716441909	-0.281893967290615	0.0881106465569933
"P453v6"	-0.305706143779827	0.0303400904318812	-0.404924066354691	-0.015603801534145	-0.122977846589516	-0.179655963525447	-0.30534932420182	-0.275387930128537	-0.122657824480336	-0.206800285586649	-0.20769457811077	-0.131413806786343	-0.201042320129563	-0.0296219728898946
"P453v7"	-0.247833524118616	0.00609486126014828	-0.468198919789962	-0.0284848419263052	-0.167697035618158	-0.227506000661295	-0.308552565132368	-0.274015283247332	-0.111754087924658	-0.252941020226117	-0.169398915119163	-0.0468567881887596	-0.254710812164832	-0.0258207723354563
"P453v8"	-0.296549237836417	0.103348385025714	-0.532535236548255	0.0545396058391969	-0.258003536886916	-0.321791930111143	-0.251816044886673	-0.0733724516415141	0.000939721601637137	-0.290231798729189	-0.129869042395433	-0.0522816224759394	-0.17020682382096	-0.096529243861606
"P453v9"	-0.233958966485741	-0.0235471839749874	-0.249957769071142	-0.0701637949082318	0.00734377879437167	-0.00920237567733934	-0.304205076009087	-0.316417407825812	-0.188258749904801	-0.197227504686111	-0.180498882439955	-0.0841072826303423	-0.256115449755756	0.0770368865203648
"P453v10"	-0.206237497258763	-0.0331583468840765	-0.0661091055816267	-0.163109382546304	0.0304062076101822	0.0996107301429275	-0.245124630088079	-0.327634292794439	-0.338676102528083	-0.193400044330162	-0.204788369283705	-0.0505668836633398	-0.297977400702373	0.0634839993758265
